,date,temperature_2m (°C),precipitation (mm),rain (mm),cloudcover (%),cloudcover_low (%),cloudcover_mid (%),cloudcover_high (%),windspeed_10m (km/h),winddirection_10m (°)
215,2016-08-03,22.06,0.0,0.0,10.58,7.83,5.88,0.0,6.68,78.21
216,2016-08-04,22.73,0.0,0.0,17.67,11.62,10.12,3.29,5.16,137.08
217,2016-08-05,23.68,0.0,0.0,31.38,29.83,7.08,1.33,8.76,206.33
218,2016-08-06,25.87,0.08,0.08,44.92,39.0,14.83,4.96,9.87,227.08
219,2016-08-07,26.05,0.0,0.0,4.38,0.58,6.21,0.0,10.05,312.54
220,2016-08-08,25.62,0.0,0.0,30.33,4.42,20.83,46.08,5.85,268.12
221,2016-08-09,25.32,0.0,0.0,14.62,3.58,9.25,19.46,7.44,194.79
222,2016-08-10,26.4,0.61,0.61,62.75,40.33,28.29,73.21,9.27,189.29
223,2016-08-11,28.33,0.29,0.29,59.83,33.79,23.71,80.04,9.27,229.42
224,2016-08-12,28.35,0.12,0.12,46.25,20.62,17.42,57.17,11.5,236.62
225,2016-08-13,29.65,0.11,0.11,62.83,39.75,6.79,87.71,9.88,226.42
226,2016-08-14,29.97,0.0,0.0,26.46,3.54,10.92,55.83,10.79,249.42
227,2016-08-15,28.49,0.01,0.01,34.17,9.46,20.54,44.08,7.08,308.67
228,2016-08-16,27.98,0.43,0.43,57.79,28.04,23.17,73.62,7.1,180.04
229,2016-08-17,27.15,0.05,0.05,35.33,5.79,15.92,68.21,15.27,270.67
230,2016-08-18,26.02,0.04,0.04,61.71,19.54,58.5,41.67,3.8,240.67
231,2016-08-19,26.82,0.01,0.01,29.25,5.46,34.67,11.58,7.09,158.96
232,2016-08-20,25.92,0.08,0.08,35.42,17.38,30.75,4.46,6.28,106.21
233,2016-08-21,26.1,0.1,0.1,45.62,22.33,32.83,32.12,10.63,140.04
234,2016-08-22,23.44,0.23,0.23,18.83,5.21,14.79,17.96,15.75,299.62
235,2016-08-23,21.81,0.0,0.0,0.12,0.12,0.0,0.0,6.15,301.62
236,2016-08-24,24.15,0.0,0.0,0.96,0.46,0.0,1.67,6.95,235.79
237,2016-08-25,24.62,0.0,0.0,51.67,38.0,14.21,52.38,12.19,200.21
238,2016-08-26,27.11,0.0,0.0,28.0,16.33,13.38,17.5,10.6,268.17
239,2016-08-27,25.87,0.0,0.0,13.58,0.04,0.12,44.71,9.49,164.17
240,2016-08-28,24.99,0.0,0.0,17.88,4.92,3.96,36.71,6.45,145.75
241,2016-08-29,26.37,0.0,0.0,16.92,3.0,5.96,35.67,11.16,264.92
242,2016-08-30,24.25,0.0,0.0,27.04,15.54,16.42,11.5,8.53,115.5
243,2016-08-31,24.85,0.0,0.0,53.21,18.0,30.54,64.46,7.86,207.83
244,2016-09-01,24.58,0.2,0.2,78.25,11.92,73.21,82.29,7.0,226.42
245,2016-09-02,22.34,0.03,0.03,42.33,8.83,43.0,29.71,11.27,193.08
246,2016-09-03,21.3,0.0,0.0,54.54,20.92,10.75,97.58,12.07,47.42
247,2016-09-04,20.76,0.0,0.0,10.88,2.54,0.04,28.83,11.57,38.79
248,2016-09-05,21.37,0.0,0.0,24.25,0.62,1.38,76.25,12.49,82.54
249,2016-09-06,23.8,0.03,0.03,72.79,56.88,43.67,19.79,20.79,184.12
250,2016-09-07,23.8,0.02,0.02,61.0,54.62,32.71,0.21,15.16,24.12
251,2016-09-08,25.0,0.0,0.0,57.29,40.67,27.71,31.25,6.06,180.29
252,2016-09-09,28.1,0.05,0.05,54.75,7.33,50.17,60.12,7.81,252.38
253,2016-09-10,27.68,0.22,0.22,56.42,23.21,42.25,34.38,6.94,109.92
254,2016-09-11,26.36,0.05,0.05,35.29,12.33,26.12,39.46,14.62,253.79
255,2016-09-12,20.47,0.0,0.0,6.25,3.33,0.0,10.83,9.06,171.0
256,2016-09-13,21.15,0.0,0.0,24.25,22.75,13.71,0.0,8.49,212.0
257,2016-09-14,23.94,0.0,0.0,11.08,1.46,11.79,8.79,10.38,245.04
258,2016-09-15,20.39,0.0,0.0,8.79,1.88,9.12,5.25,12.56,81.75
259,2016-09-16,18.32,0.0,0.0,42.88,39.54,0.79,22.5,6.57,133.62
260,2016-09-17,19.12,0.0,0.0,56.67,44.54,0.29,54.67,7.42,167.42
261,2016-09-18,23.43,0.01,0.01,60.75,26.12,33.71,72.54,11.4,201.42
262,2016-09-19,23.22,0.69,0.69,91.58,58.0,60.12,94.21,6.01,177.54
263,2016-09-20,22.88,0.0,0.0,80.96,56.42,11.21,98.67,6.23,90.08
264,2016-09-21,23.21,0.0,0.0,40.5,11.79,0.0,99.42,6.42,135.5
265,2016-09-22,22.32,0.0,0.0,8.67,0.0,0.42,27.96,7.3,58.33
266,2016-09-23,21.9,0.0,0.0,27.12,20.71,1.96,23.83,5.32,225.17
267,2016-09-24,19.13,0.15,0.15,49.08,40.5,38.62,4.25,11.95,46.33
268,2016-09-25,16.03,0.0,0.0,0.29,0.21,0.17,0.0,8.45,294.92
269,2016-09-26,16.56,0.0,0.0,34.75,32.58,7.08,8.62,9.33,107.04
270,2016-09-27,19.83,0.26,0.26,70.0,50.38,52.04,69.54,9.07,221.08
271,2016-09-28,17.18,0.05,0.05,57.17,47.62,15.58,43.67,12.3,99.29
272,2016-09-29,16.17,0.06,0.06,100.0,95.25,54.79,88.71,20.16,59.42
273,2016-09-30,15.34,0.65,0.65,100.0,91.5,96.46,82.67,20.79,46.46
274,2016-10-01,15.08,0.01,0.01,100.0,99.92,20.67,88.42,16.66,35.96
275,2016-10-02,15.5,0.02,0.02,99.5,99.96,14.67,50.92,7.68,68.83
276,2016-10-03,17.86,0.0,0.0,64.96,49.88,34.83,2.62,3.11,225.38
277,2016-10-04,17.35,0.0,0.0,60.67,54.62,19.67,0.38,9.59,86.12
278,2016-10-05,15.46,0.0,0.0,8.25,8.75,0.58,0.0,10.19,66.54
279,2016-10-06,15.65,0.0,0.0,29.04,32.25,0.0,0.0,4.2,136.0
280,2016-10-07,15.95,0.0,0.0,39.79,40.38,1.17,9.0,5.5,124.5
281,2016-10-08,16.35,0.1,0.1,83.46,62.33,41.0,83.04,5.25,106.58
282,2016-10-09,15.3,0.59,0.59,92.25,57.04,91.58,91.33,16.43,209.58
283,2016-10-10,12.98,0.0,0.0,0.21,0.12,0.12,0.0,17.62,341.83
284,2016-10-11,11.55,0.0,0.0,1.42,0.21,0.0,4.17,8.08,137.88
285,2016-10-12,13.51,0.0,0.0,55.04,45.04,0.29,47.96,6.06,136.25
286,2016-10-13,14.92,0.02,0.02,60.17,51.29,13.71,30.58,8.58,232.25
287,2016-10-14,12.77,0.0,0.0,1.62,1.42,0.21,0.71,10.66,244.46
288,2016-10-15,12.03,0.0,0.0,2.33,1.04,0.0,4.75,7.72,78.04
289,2016-10-16,14.0,0.0,0.0,10.54,2.12,5.83,16.96,9.94,214.17
290,2016-10-17,18.72,0.03,0.03,26.46,0.96,22.83,39.5,9.57,240.33
291,2016-10-18,20.11,0.0,0.0,3.83,0.88,2.46,5.0,9.8,215.25
292,2016-10-19,21.93,0.0,0.0,6.67,1.17,9.29,0.12,11.88,265.67
293,2016-10-20,18.27,0.01,0.01,55.0,33.92,22.88,54.33,12.98,68.17
294,2016-10-21,19.78,0.2,0.2,94.58,89.79,50.21,30.67,7.9,134.83
295,2016-10-22,12.72,1.18,1.18,95.54,70.46,76.38,15.75,18.45,268.88
296,2016-10-23,11.83,0.01,0.01,33.0,9.54,35.79,9.75,21.14,272.04
297,2016-10-24,13.14,0.1,0.1,30.25,15.17,26.5,9.38,14.49,279.96
298,2016-10-25,9.81,0.0,0.0,23.83,15.42,16.46,0.0,16.77,295.96
299,2016-10-26,7.37,0.0,0.0,15.29,7.46,1.0,26.58,12.12,314.38
